id,song_name,artist,song_popularity,decade,genre,points,created_at,updated_at
1,If You Ever Stop Loving Me,Montgomery Gentry,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
2,Easy For You To Say,Linda Ronstadt,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
3,Chug-A-Lug,Roger Miller,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
4,Unsent,Alanis Morissette,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
5,Cançó de la Nevera,Josep Maria Espinàs,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
6,Satisfaction,Smokey Robinson & The Miracles,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
7,The Entertainer - The Sting/Soundtrack Version (Piano Version),Marvin Hamlisch,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
8,Hottress,The Dreadnoughts,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
9,Solitude,McCoy Tyner,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
10,Be-Bop,Dizzy Gillespie,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
11,"Sick, Sick, Sick",Bayside,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
12,Cançó de la Baixeta,Josep Maria Espinàs,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
13,Johnny Will,Pat Boone,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
14,Wall To Wall,Chris Brown,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
15,We Have Come to Bless the House,Severed Heads,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
16,Kiss The Rain,Billie Myers,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
17,Please Come Home For Christmas,Eagles,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
18,Rock N Roll Fun - T Rex Vol1 Mix,Carbona,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
19,Growin',Loggins & Messina,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
20,"Concerto for Harpsichord, Strings, and Continuo No.5 in F minor, BWV 1056 - Piano performance: 2. Largo",Johann Sebastian Bach,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
21,We're on the Move,Maceo Parker,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
